,Product_Collection,Vertical_Segment,Processor_Number,Status,Launch_Year,Lithography(nm),Recommended_Customer_Price(USD),nb_of_Cores,nb_of_Threads,Processor_Base_Frequency(GHz),Cache(MB),TDP(W),Max_Memory_Bandwidth(GB/s),Instruction_Set(bit),Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Graphics_Base_Frequency(MHz)
167,Intel® Atom™ Processor C Series,Server,C2730,Launched,2013,22.0,150.0,8.0,8.0,1.7,4.0,12.0,25.6,64,0,1,0
168,Intel® Atom™ Processor C Series,Server,C2750,Launched,2013,22.0,171.0,8.0,8.0,2.4,4.0,20.0,25.6,64,0,1,0
169,Intel® Atom™ Processor C Series,Embedded,C2308,Launched,2014,22.0,60.0,2.0,2.0,1.25,1.0,6.0,8.099600000000002,64,0,1,0
170,Intel® Atom™ Processor C Series,Embedded,C2338,Launched,2013,22.0,60.0,2.0,2.0,1.7,1.0,7.0,10.74140000000001,64,0,1,0
171,Intel® Atom™ Processor C Series,Embedded,C2358,Launched,2013,22.0,60.0,2.0,2.0,1.7,1.0,7.0,10.74140000000001,64,0,1,0
172,Intel® Atom™ Processor C Series,Embedded,C2508,Launched,2014,22.0,98.0,4.0,4.0,1.25,2.0,9.5,22.301199999999984,64,0,1,0
173,Intel® Atom™ Processor C Series,Embedded,C2518,Launched,2013,22.0,91.0,4.0,4.0,1.7,2.0,13.0,25.557199999999952,64,0,1,0
174,Intel® Atom™ Processor C Series,Embedded,C2538,Launched,2013,22.0,104.0,4.0,4.0,2.4,2.0,15.0,25.255999999999958,64,0,1,0
175,Intel® Atom™ Processor C Series,Embedded,C2558,Launched,2013,22.0,104.0,4.0,4.0,2.4,2.0,15.0,25.255999999999958,64,0,1,0
176,Intel® Atom™ Processor C Series,Embedded,C2718,Launched,2013,22.0,182.0,8.0,8.0,2.0,4.0,18.0,25.59999999999995,64,0,1,0
177,Intel® Atom™ Processor C Series,Embedded,C2758,Launched,2013,22.0,208.0,8.0,8.0,2.4,4.0,20.0,25.298999999999957,64,0,1,0
178,Intel® Atom™ Processor C Series,Embedded,C2738,Launched,2013,22.0,208.0,8.0,8.0,2.4,4.0,20.0,25.298999999999957,64,0,1,0
179,Intel® Atom™ Processor C Series,Server,C3958,Launched,2017,14.0,449.0,16.0,16.0,2.0,16.0,31.0,67.66300000000005,64,0,1,0
180,Intel® Atom™ Processor C Series,Server,C3955,Launched,2017,14.0,434.0,16.0,16.0,2.1,16.0,32.0,67.66300000000005,64,0,1,0
181,Intel® Atom™ Processor C Series,Server,C3950,Launched,2017,14.0,389.0,16.0,16.0,1.7,16.0,24.0,63.41699999999997,64,0,1,0
182,Intel® Atom™ Processor C Series,Server,C3830,Launched,2017,14.0,289.0,12.0,12.0,1.9,12.0,21.5,60.12199999999998,64,0,1,0
183,Intel® Atom™ Processor C Series,Server,C3858,Launched,2017,14.0,332.0,12.0,12.0,2.0,12.0,25.0,60.29399999999999,64,0,1,0
184,Intel® Atom™ Processor C Series,Server,C3850,Launched,2017,14.0,323.0,12.0,12.0,2.1,12.0,25.0,60.29399999999999,64,0,1,0
185,Intel® Atom™ Processor C Series,Server,C3808,Launched,2017,14.0,369.0,12.0,12.0,2.0,12.0,25.0,60.830999999999996,64,0,1,0
186,Intel® Atom™ Processor C Series,Server,C3758,Launched,2017,14.0,193.0,8.0,8.0,2.2,16.0,25.0,62.02099999999996,64,0,1,0
187,Intel® Atom™ Processor C Series,Server,C3750,Launched,2017,14.0,171.0,8.0,8.0,2.2,16.0,21.0,62.02099999999996,64,0,1,0
188,Intel® Atom™ Processor C Series,Server,C3708,Launched,2017,14.0,209.0,8.0,8.0,1.7,16.0,17.0,60.64099999999992,64,0,1,0
189,Intel® Atom™ Processor C Series,Server,C3558,Launched,2017,14.0,86.0,4.0,4.0,2.2,8.0,16.0,35.42699999999998,64,0,1,0
190,Intel® Atom™ Processor C Series,Server,C3538,Launched,2017,14.0,75.0,4.0,4.0,2.1,8.0,15.0,35.42699999999998,64,0,1,0
